COMMON_NAME_traits,SCIENTIFIC_NAME_traits,range_size
Hooded Robin,Melanodryas_cucullata,"6,986"
Horsfield's Bronze-Cuckoo,Chalcites_basalis,"7,752"
Horsfield's Bushlark,Mirafra_javanica,"5,212"
Inland Thornbill,Acanthiza_apicalis,"4,299"
Intermediate Egret,Ardea_intermedia,"3,449"
Jacky Winter,Microeca_fascinans,"5,568"
Kelp Gull,Larus_dominicanus,NA
King Quail,Synoicus_chinensis,635
Large-billed Gerygone,Gerygone_magnirostris,NA
Large-billed Scrubwren,Sericornis_magnirostris,210
Large-tailed Nightjar,Caprimulgus_macrurus,374
Latham's Snipe,Gallinago_hardwickii,"1,074"
Laughing Kookaburra,Dacelo_novaeguineae,"2,060"
Leaden Flycatcher,Myiagra_rubecula,"1,736"
Lemon-bellied Flycatcher,Microeca_flavigaster,673
Lesser Crested Tern,Thalasseus_bengalensis,NA
Lesser Sand Plover,Charadrius_mongolus,NA
Lewin's Honeyeater,Meliphaga_lewinii,437
Lewin's Rail,Lewinia_pectoralis,347
Little Black Cormorant,Phalacrocorax_sulcirostris,"5,136"
Little Bronze-Cuckoo,Chalcites_minutillus,834
Little Button-quail,Turnix_velox,"6,894"
Little Corella,Cacatua_sanguinea,"6,282"
Little Crow,Corvus_bennetti,"5,037"
Little Curlew,Numenius_minutus,"1,644"
Little Eagle,Hieraaetus_morphnoides,"7,678"
Little Egret,Egretta_garzetta,NA
Little Friarbird,Philemon_citreogularis,"3,199"
Little Grassbird,Poodytes_gramineus,"3,639"
Little Kingfisher,Ceyx_pusilla,NA
Little Lorikeet,Glossopsitta_pusilla,592
Little Pied Cormorant,Microcarbo_melanoleucos,"5,654"
Little Raven,Corvus_mellori,926
Little Shrike-thrush,Colluricincla_megarhyncha,547
Little Tern,Sternula_albifrons,NA
Little Wattlebird,Anthochaera_chrysoptera,383
Little Woodswallow,Artamus_minor,"4,794"
Long-billed Corella,Cacatua_tenuirostris,173
Long-tailed Finch,Poephila_acuticauda,806
Long-toed Stint,Calidris_subminuta,"4,172"
Lovely Fairy-wren,Malurus_amabilis,93
Macleay's Honeyeater,Xanthotis_macleayana,32
Magnificent Riflebird,Lophorina_magnificus,53
Magpie Goose,Anseranas_semipalmata,"1,577"
Magpie-lark,Grallina_cyanoleuca,"6,547"
Major Mitchell's Cockatoo,Cacatua_leadbeateri,"3,487"
Mallee Emu-wren,Stipiturus_mallee,21
Mangrove Gerygone,Gerygone_levigaster,NA
Mangrove Golden Whistler,Pachycephala_melanura,NA
Mangrove Grey Fantail,Rhipidura_phasiana,NA
Mangrove Honeyeater,Gavicalis_fasciogularis,NA
Mangrove Robin,Peneothello_pulverulenta,NA
Marbled Frogmouth,Podargus_ocellatus,56
Marsh Sandpiper,Tringa_stagnatilis,"6,284"
Masked Finch,Poephila_personata,738
Masked Lapwing,Vanellus_miles,"4,502"
Masked Owl,Tyto_novaehollandiae,769
Masked Woodswallow,Artamus_personatus,"7,478"
Metallic Starling,Aplonis_metallica,NA
Mistletoebird,Dicaeum_hirundinaceum,"7,701"
Mountain Thornbill,Acanthiza_katherina,16
Mulga Parrot,Psephotellus_varius,"2,939"
Musk Duck,Biziura_lobata,"1,418"
Musk Lorikeet,Glossopsitta_concinna,434
Nankeen Kestrel,Falco_cenchroides,"7,749"
Nankeen Night-Heron,Nycticorax_caledonicus,"5,453"
New Holland Honeyeater,Phylidonyris_novaehollandiae,679
New Zealand Boobook,Ninox_novaeseelandiae,"7,404"
Noisy Friarbird,Philemon_corniculatus,"1,488"
Noisy Miner,Manorina_melanocephala,"1,408"
Noisy Pitta,Pitta_versicolor,196
Noisy Scrub-bird,Atrichornis_clamosus,0
Northern Fantail,Rhipidura_rufiventris,776
Northern Rosella,Platycercus_venustus,573
Olive Whistler,Pachycephala_olivacea,211
Olive-backed Oriole,Oriolus_sagittatus,"2,323"
Olive-backed Sunbird,Cinnyris_jugularis,181
Orange Chat,Epthianura_aurifrons,"3,342"
Orange-footed Scrubfowl,Megapodius_reinwardt,223
Oriental Cuckoo,Cuculus_saturatus,921
Oriental Pratincole,Glareola_maldivarum,"1,121"
Osprey,Pandion_haliaetus,NA
Pacific Baza,Aviceda_subcristata,875
Pacific Black Duck,Anas_superciliosa,"6,318"
Pacific Golden Plover,Pluvialis_fulva,NA
Pacific Gull,Larus_pacificus,NA
Painted Button-quail,Turnix_varius,"1,187"
Painted Finch,Emblema_pictum,"2,460"
Painted Honeyeater,Grantiella_picta,"1,436"
Pale-headed Rosella,Platycercus_adscitus,"1,063"
Pale-vented Bush-hen,Amaurornis_moluccana,181
Pale-yellow Robin,Tregellasia_capito,92
Pallid Cuckoo,Heteroscenes_pallidus,"7,728"
Papuan Frogmouth,Podargus_papuensis,135
Paradise Riflebird,Lophorina_paradiseus,NA
Peaceful Dove,Geopelia_placida,"5,659"
Pectoral Sandpiper,Calidris_melanotos,"2,322"
Peregrine Falcon,Falco_peregrinus,"7,346"
Pheasant Coucal,Centropus_phasianinus,"1,974"
Pictorella Mannikin,Heteromunia_pectoralis,919
Pied Butcherbird,Cracticus_nigrogularis,"6,290"
Pied Cormorant,Phalacrocorax_varius,NA
Pied Currawong,Strepera_graculina,991
Pied Heron,Egretta_picata,454
Pied Honeyeater,Certhionyx_variegatus,"4,340"
Pied Monarch,Arses_kaupi,20
Pilotbird,Pycnoptilus_floccosus,87
Pink Robin,Petroica_rodinogaster,218
Pink-eared Duck,Malacorhynchus_membranaceus,"5,377"
Plumed Whistling-Duck,Dendrocygna_eytoni,"4,163"
Plum-headed Finch,Neochmia_modesta,885
Powerful Owl,Ninox_strenua,324
Purple Swamphen,Porphyrio_porphyrio,"2,735"
Purple-crowned Fairy-wren,Malurus_coronatus,205
Purple-crowned Lorikeet,Glossopsitta_porphyrocephala,762
Purple-gaped Honeyeater,Lichenostomus_cratitius,259
Radjah Shelduck,Radjah_radjah,750
Rainbow Bee-eater,Merops_ornatus,"7,628"
Rainbow Pitta,Pitta_iris,"1,974"
Red Knot,Calidris_canutus,168
Red Wattlebird,Anthochaera_carunculata,NA
Red-backed Button-quail,Turnix_maculosa,864
Red-backed Fairy-wren,Malurus_melanocephalus,"1,989"
Red-backed Kingfisher,Todiramphus_pyrrhopygius,"7,189"
Red-browed Finch,Neochmia_temporalis,678
Red-browed Pardalote,Pardalotus_rubricatus,"4,709"
Red-browed Treecreeper,Climacteris_erythrops,243
Red-capped Parrot,Purpureicephalus_spurius,113
Red-capped Plover,Charadrius_ruficapillus,NA
Red-capped Robin,Petroica_goodenovii,"5,825"
Red-cheeked Parrot,Geoffroyus_geoffroyi,4
Red-eared Firetail,Stagonopleura_oculata,56
Red-headed Honeyeater,Myzomela_erythrocephala,NA
Red-kneed Dotterel,Erythrogonys_cinctus,"7,651"
Red-necked Avocet,Recurvirostra_novaehollandiae,"2,616"
Red-necked Crake,Rallina_tricolor,28
Red-necked Stint,Calidris_ruficollis,NA
Red-rumped Parrot,Psephotus_haematonotus,"1,309"
Red-tailed Black-Cockatoo,Calyptorhynchus_banksii,"3,447"
Redthroat,Pyrrholaemus_brunneus,"2,674"
Red-winged Fairy-wren,Malurus_elegans,49
Red-winged Parrot,Aprosmictus_erythropterus,"2,787"
Regent Bowerbird,Sericulus_chrysocephalus,108
Regent Honeyeater,Anthochaera_phrygia,403
Regent Parrot,Polytelis_anthopeplus,422
Restless Flycatcher,Myiagra_inquieta,"4,021"
Rockwarbler,Origma_solitaria,46
Rose Robin,Petroica_rosea,461
Rose-crowned Fruit-Dove,Ptilinopus_regina,362
Royal Spoonbill,Platalea_regia,"3,786"
Ruddy Turnstone,Arenaria_interpres,NA
Rufous Bristlebird,Dasyornis_broadbenti,9
Rufous Fantail,Rhipidura_rufifrons,756
Rufous Fieldwren,Calamanthus_campestris,"1,193"
Rufous Owl,Ninox_rufa,303
Rufous Songlark,Cincloramphus_mathewsi,"7,494"
Rufous Treecreeper,Climacteris_rufa,511
Rufous Whistler,Pachycephala_rufiventris,"6,733"
Rufous-banded Honeyeater,Conopophila_albogularis,196
Rufous-throated Honeyeater,Conopophila_rufogularis,"1,514"
Russet-tailed Thrush,Zoothera_heinei,88
Sacred Kingfisher,Todiramphus_sanctus,"5,758"
Sanderling,Calidris_alba,NA
Sandstone Shrike-thrush,Colluricincla_woodwardi,471
Sarus Crane,Antigone_antigone,216
Satin Bowerbird,Ptilonorhynchus_violaceus,302
Satin Flycatcher,Myiagra_cyanoleuca,598
Scaly-breasted Lorikeet,Trichoglossus_chlorolepidotus,582
Scarlet Honeyeater,Myzomela_sanguinolenta,404
Scarlet Robin,Petroica_multicolor,648
Scrubtit,Acanthornis_magnus,58
Sharp-tailed Sandpiper,Calidris_acuminata,"7,017"
Shining Bronze-Cuckoo,Chalcites_lucidus,"1,588"
Shining Flycatcher,Myiagra_alecto,501
Shy Heathwren,Calamanthus_cauta,599
Silver Gull,Chroicocephalus_novaehollandiae,3902
Silver-crowned Friarbird,Philemon_argenticeps,882
Silvereye,Zosterops_lateralis,"1,549"
Singing Honeyeater,Gavicalis_virescens,"7,002"
Slaty-backed Thornbill,Acanthiza_robustirostris,"1,882"
Slender-billed Thornbill,Acanthiza_iredalei,721
Sooty Oystercatcher,Haematopus_fuliginosus,NA
Sooty Tern,Onychoprion_fuscata,NA
Southern Cassowary,Casuarius_casuarius,24
Southern Emu-wren,Stipiturus_malachurus,238
Southern Scrub-robin,Drymodes_brunneopygia,488
Southern Whiteface,Aphelocephala_leucopsis,"3,465"
Spangled Drongo,Dicrurus_bracteatus,757
Speckled Warbler,Pyrrholaemus_sagittata,685
Spectacled Monarch,Symposiarchus_trivirgatus,212
Spinifexbird,Poodytes_carteri,"1,853"
Spiny-cheeked Honeyeater,Acanthagenys_rufogularis,"5,799"
Splendid Fairy-wren,Malurus_splendens,"3,079"
Spotless Crake,Zapornia_tabuensis,"1,579"
Spotted Bowerbird,Ptilonorhynchus_maculatus,NA
Spotted Catbird,Ailuroedus_melanotis,30
Spotted Harrier,Circus_assimilis,"7,370"
Spotted Nightjar,Eurostopodus_argus,"7,121"
Spotted Pardalote,Pardalotus_punctatus,"1,478"
Spotted Quail-thrush,Cinclosoma_punctatum,400
Spotted Whistling-Duck,Dendrocygna_guttata,40
Square-tailed Kite,Lophoictinia_isura,"5,960"
Squatter Pigeon,Geophaps_scripta,653
Star Finch,Neochmia_ruficauda,718
Straw-necked Ibis,Threskiornis_spinicollis,"5,250"
Striated Fieldwren,Calamanthus_fuliginosus,128
Striated Heron,Butorides_striata,NA
Striated Pardalote,Pardalotus_striatus,"6,508"
Striated Thornbill,Acanthiza_lineata,533
Striped Honeyeater,Plectorhyncha_lanceolata,"1,420"
Strong-billed Honeyeater,Melithreptus_validirostris,70
Stubble Quail,Coturnix_pectoralis,"5,328"
Sulphur-crested Cockatoo,Cacatua_galerita,"2,980"
Superb Fairy-wren,Malurus_cyaneus,"1,110"
Superb Lyrebird,Menura_novaehollandiae,191
Superb Parrot,Polytelis_swainsonii,233
Swamp Harrier,Circus_approximans,"4,816"
Swift Parrot,Lathamus_discolor,292
Tasmanian Native-hen,Tribonyx_mortierii,46
Tasmanian Scrubwren,Sericornis_humilis,69
Tasmanian Thornbill,Acanthiza_ewingii,69
Tawny Frogmouth,Podargus_strigoides,"7,205"
Tawny Grassbird,Cincloramphus_timoriensis,708
Tawny-breasted Honeyeater,Xanthotis_flaviventer,53
Tawny-crowned Honeyeater,Glyciphila_melanops,526
Terek Sandpiper,Xenus_cinereus,NA
Tooth-billed Bowerbird,Scenopoeetes_dentirostris,14
Topknot Pigeon,Lopholaimus_antarcticus,200
Torresian Crow,Corvus_orru,NA
Torresian Imperial-Pigeon,Ducula_spilorrhoa,441
Tree Martin,Petrochelidon_nigricans,"7,747"
Tropical Scrubwren,Sericornis_beccarii,49
Trumpet Manucode,Phonygammus_keraudrenii,47
Turquoise Parrot,Neophema_pulchella,210
Varied Honeyeater,Gavicalis_versicolor,NA
Varied Lorikeet,Psitteuteles_versicolor,"1,306"
Varied Sittella,Daphoenositta_chrysoptera,"6,264"
Varied Triller,Lalage_leucomela,685
Variegated Fairy-wren,Malurus_lamberti,"6,384"
Victoria's Riflebird,Lophorina_victoriae,23
Wandering Tattler,Tringa_incana,NA
Wandering Whistling-Duck,Dendrocygna_arcuata,"1,771"
Wedge-tailed Eagle,Aquila_audax,"7,752"
Weebill,Smicrornis_brevirostris,"6,945"
Welcome Swallow,Hirundo_neoxena,"4,824"
Western Bowerbird,Ptilonorhynchus_guttatus,"1,265"
Western Bristlebird,Dasyornis_longirostris,9
Western Corella,Cacatua_pastinator,105
Western Gerygone,Gerygone_fusca,"4,276"
Western Rosella,Platycercus_icterotis,183
Western Spinebill,Acanthorhynchus_superciliosus,NA
Western Thornbill,Acanthiza_inornata,105
Western Wattlebird,Anthochaera_lunulata,147
Western Whipbird,Psophodes_nigrogularis,37
Western Yellow Robin,Eopsaltria_griseogularis,458
Whimbrel,Numenius_phaeopus,NA
Whiskered Tern,Chlidonias_hybrida,"7,463"
Whistling Kite,Haliastur_sphenurus,"7,689"
White Tern,Gygis_alba,NA
White-backed Swallow,Cheramoeca_leucosterna,"5,508"
White-bellied Cuckoo-shrike,Coracina_papuensis,"2,733"
White-bellied Sea-Eagle,Haliaeetus_leucogaster,"2,370"
White-bellied Spinifex Pigeon,Geophaps_plumifera,"1,689"
White-breasted Robin,Quoyornis_georgiana,67
White-breasted Whistler,Pachycephala_lanioides,NA
White-breasted Woodswallow,Artamus_leucorynchus,"3,949"
White-browed Babbler,Pomatostomus_superciliosus,"3,768"
White-browed Crake,Amaurornis_cinerea,392
White-browed Robin,Poecilodryas_superciliosa,51
White-browed Scrubwren,Sericornis_frontalis,926
White-browed Treecreeper,Climacteris_affinis,"2,006"
White-browed Woodswallow,Artamus_superciliosus,"4,727"
White-cheeked Honeyeater,Phylidonyris_niger,363
White-eared Honeyeater,Nesoptilotis_leucotis,"1,298"
White-eared Monarch,Carterornis_leucotis,102
White-faced Heron,Egretta_novaehollandiae,"6,479"
White-faced Robin,Tregellasia_leucops,19
White-fronted Chat,Epthianura_albifrons,"1,963"
White-fronted Honeyeater,Purnella_albifrons,"3,683"
White-fronted Tern,Sterna_striata,NA
White-gaped Honeyeater,Stomiopera_unicolor,"1,131"
White-headed Pigeon,Columba_leucomela,145
White-naped Honeyeater,Melithreptus_lunatus,643
White-necked Heron,Ardea_pacifica,"6,219"
White-plumed Honeyeater,Ptilotula_penicillatus,"5,038"
White-quilled Rock-Pigeon,Petrophassa_albipennis,197
White-streaked Honeyeater,Trichodere_cockerelli,NA
White-throated Gerygone,Gerygone_olivacea,"1,911"
White-throated Honeyeater,Melithreptus_albogularis,"1,461"
White-throated Needletail,Hirundapus_caudacutus,910
White-throated Nightjar,Eurostopodus_mystacalis,527
White-throated Treecreeper,Cormobates_leucophaea,677
White-winged Black Tern,Chlidonias_leucopterus,"2,570"
White-winged Chough,Corcorax_melanorhamphos,"1,619"
White-winged Fairy-wren,Malurus_leucopterus,"5,322"
White-winged Triller,Lalage_tricolor,"7,693"
Willie Wagtail,Rhipidura_leucophrys,"7,679"
Wompoo Fruit-Dove,Ptilinopus_magnificus,177
Wonga Pigeon,Leucosarcia_melanoleuca,318
Wood Sandpiper,Tringa_glareola,"7,198"
Yellow Chat,Epthianura_crocea,"1,432"
Yellow Honeyeater,Stomiopera_flavus,374
Yellow Oriole,Oriolus_flavocinctus,473
Yellow Thornbill,Acanthiza_nana,"1,474"
Yellow Wagtail,Motacilla_flava,32
Yellow Wattlebird,Anthochaera_paradoxa,53
Yellow White-eye,Zosterops_luteus,NA
Yellow-billed Kingfisher,Syma_torotoro,49
Yellow-billed Spoonbill,Platalea_flavipes,"5,411"
Yellow-breasted Boatbill,Machaerirhynchus_flaviventer,54
Yellow-faced Honeyeater,Caligavis_chrysops,667
Yellow-plumed Honeyeater,Ptilotula_ornatus,988
Yellow-rumped Thornbill,Acanthiza_chrysorrhoa,"4,531"
Yellow-spotted Honeyeater,Meliphaga_notata,131
