COMMON_NAME_ebird,SCIENTIFIC_NAME_ebird,COMMON_NAME_traits,SCIENTIFIC_NAME_traits,SCIENTIFIC_NAME_tree,COMMON_NAME_tree
Far Eastern Curlew,Numenius madagascariensis,Eastern Curlew,Numenius_madagascariensis,Numenius madagascariensis,Far Eastern Curlew
Marsh Sandpiper,Tringa stagnatilis,Marsh Sandpiper,Tringa_stagnatilis,Tringa stagnatilis,Marsh Sandpiper
Pacific Golden-Plover,Pluvialis fulva,Pacific Golden Plover,Pluvialis_fulva,Pluvialis fulva,Pacific Golden Plover
Scaly-breasted Munia,Lonchura punctulata,Nutmeg Mannikin,Lonchura_punctulata,Lonchura punctulata,Scaly-breasted Munia
Whimbrel,Numenius phaeopus,Whimbrel,Numenius_phaeopus,Numenius phaeopus,Whimbrel
Wood Sandpiper,Tringa glareola,Wood Sandpiper,Tringa_glareola,Tringa glareola,Wood Sandpiper
Musk Duck,Biziura lobata,Musk Duck,Biziura_lobata,Biziura lobata,Musk Duck
Plum-headed Finch,Neochmia modesta,Plum-headed Finch,Neochmia_modesta,Neochmia modesta,Plum-headed Finch
Red-winged Fairywren,Malurus elegans,Red-winged Fairy-wren,Malurus_elegans,Malurus elegans,Red-winged Fairywren
Western Gerygone,Gerygone fusca,Western Gerygone,Gerygone_fusca,Gerygone fusca,Western Gerygone
Western Spinebill,Acanthorhynchus superciliosus,Western Spinebill,Acanthorhynchus_superciliosus,Acanthorhynchus superciliosus,Western Spinebill
Western Wattlebird,Anthochaera lunulata,Western Wattlebird,Anthochaera_lunulata,Anthochaera lunulata,Western Wattlebird
Purple-crowned Lorikeet,Glossopsitta porphyrocephala,Purple-crowned Lorikeet,Glossopsitta_porphyrocephala,Glossopsitta porphyrocephala,Purple-crowned Lorikeet
Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Falco_peregrinus,Falco peregrinus,Peregrine Falcon
Rufous Night-Heron,Nycticorax caledonicus,Nankeen Night-Heron,Nycticorax_caledonicus,Nycticorax caledonicus,Rufous Night-heron
Mallard,Anas platyrhynchos,Northern Mallard,Anas_platyrhynchos,Anas platyrhynchos,Mallard
Black-faced Cormorant,Phalacrocorax fuscescens,Black-faced Cormorant,Phalacrocorax_fuscescens,Phalacrocorax fuscescens,Black-faced Cormorant
Black-chinned Honeyeater,Melithreptus gularis,Black-chinned Honeyeater,Melithreptus_gularis,Melithreptus gularis,Black-chinned Honeyeater
Brush Cuckoo,Cacomantis variolosus,Brush Cuckoo,Cacomantis_variolosus,Cacomantis variolosus,Brush Cuckoo
White-throated Gerygone,Gerygone olivacea,White-throated Gerygone,Gerygone_olivacea,Gerygone olivacea,White-throated Gerygone
Ground Cuckooshrike,Coracina maxima,Ground Cuckoo-shrike,Coracina_maxima,Coracina maxima,Ground Cuckooshrike
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Acanthagenys_rufogularis,Acanthagenys rufogularis,Spiny-cheeked Honeyeater
Sooty Owl,Tyto tenebricosa,Greater Sooty Owl,Tyto_tenebricosa,Tyto tenebricosa,Sooty Owl
White-throated Nightjar,Eurostopodus mystacalis,White-throated Nightjar,Eurostopodus_mystacalis,Eurostopodus mystacalis,White-throated Eared-nightjar
Black-bellied Plover,Pluvialis squatarola,Grey Plover,Pluvialis_squatarola,Pluvialis squatarola,Grey Plover
Double-banded Plover,Charadrius bicinctus,Double-banded Plover,Charadrius_bicinctus,Charadrius bicinctus,Double-banded Plover
Great Knot,Calidris tenuirostris,Great Knot,Calidris_tenuirostris,Calidris tenuirostris,Great Knot
Greater Sand-Plover,Charadrius leschenaultii,Greater Sand Plover,Charadrius_leschenaultii,Charadrius leschenaultii,Greater Sand Plover
Lesser Sand-Plover,Charadrius mongolus,Lesser Sand Plover,Charadrius_mongolus,Charadrius mongolus,Lesser Sand Plover
Red Knot,Calidris canutus,Red Knot,Calidris_canutus,Calidris canutus,Red Knot
Cotton Pygmy-Goose,Nettapus coromandelianus,Cotton Pygmy-goose,Nettapus_coromandelianus,Nettapus coromandelianus,Cotton Pygmy-goose
Wandering Whistling-Duck,Dendrocygna arcuata,Wandering Whistling-Duck,Dendrocygna_arcuata,Dendrocygna arcuata,Wandering Whistling-duck
Chestnut-breasted Munia,Lonchura castaneothorax,Chestnut-breasted Mannikin,Lonchura_castaneothorax,Lonchura castaneothorax,Chestnut-breasted Munia
Mangrove Gerygone,Gerygone levigaster,Mangrove Gerygone,Gerygone_levigaster,Gerygone levigaster,Mangrove Gerygone
Torresian Kingfisher,Todiramphus sordidus,Collared Kingfisher,Todiramphus_chloris,Todiramphus chloris,Collared Kingfisher
Powerful Owl,Ninox strenua,Powerful Owl,Ninox_strenua,Ninox strenua,Powerful Owl
Red-necked Avocet,Recurvirostra novaehollandiae,Red-necked Avocet,Recurvirostra_novaehollandiae,Recurvirostra novaehollandiae,Red-necked Avocet
Pacific Swift,Apus pacificus,Fork-tailed Swift,Apus_pacificus,Apus pacificus,Fork-tailed Swift
Olive Whistler,Pachycephala olivacea,Olive Whistler,Pachycephala_olivacea,Pachycephala olivacea,Olive Whistler
Dusky Myzomela,Myzomela obscura,Dusky Honeyeater,Myzomela_obscura,Myzomela obscura,Dusky Myzomela
Rose-crowned Fruit-Dove,Ptilinopus regina,Rose-crowned Fruit-Dove,Ptilinopus_regina,Ptilinopus regina,Rose-crowned Fruit-dove
Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Actitis_hypoleucos,Actitis hypoleucos,Common Sandpiper
Red-eared Firetail,Stagonopleura oculata,Red-eared Firetail,Stagonopleura_oculata,Stagonopleura oculata,Red-eared Firetail
Western Rosella,Platycercus icterotis,Western Rosella,Platycercus_icterotis,Platycercus icterotis,Western Rosella
Barn Owl,Tyto alba,Barn Owl,Tyto_alba,Tyto alba,Barn Owl
Chestnut-crowned Babbler,Pomatostomus ruficeps,Chestnut-crowned Babbler,Pomatostomus_ruficeps,Pomatostomus ruficeps,Chestnut-crowned Babbler
Chestnut-rumped Thornbill,Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthiza_uropygialis,Acanthiza uropygialis,Chestnut-rumped Thornbill
Crested Bellbird,Oreoica gutturalis,Crested Bellbird,Oreoica_gutturalis,Oreoica gutturalis,Crested Bellbird
Gilbert's Whistler,Pachycephala inornata,Gilbert's Whistler,Pachycephala_inornata,Pachycephala inornata,Gilbert's Whistler
White-browed Treecreeper,Climacteris affinis,White-browed Treecreeper,Climacteris_affinis,Climacteris affinis,White-browed Treecreeper
Spotted Quail-thrush,Cinclosoma punctatum,Spotted Quail-thrush,Cinclosoma_punctatum,Cinclosoma punctatum,Spotted Quail-thrush
Barred Cuckooshrike,Coracina lineata,Barred Cuckoo-shrike,Coracina_lineata,Coracina lineata,Yellow-eyed Cuckooshrike
Square-tailed Kite,Lophoictinia isura,Square-tailed Kite,Lophoictinia_isura,Lophoictinia isura,Square-tailed Kite
Blue-billed Duck,Oxyura australis,Blue-billed Duck,Oxyura_australis,Oxyura australis,Blue-billed Duck
White-winged Tern,Chlidonias leucopterus,White-winged Black Tern,Chlidonias_leucopterus,Chlidonias leucopterus,White-winged Tern
Double-eyed Fig-Parrot,Cyclopsitta diophthalma,Double-eyed Fig-Parrot,Cyclopsitta_diophthalma,Cyclopsitta diophthalma,Double-eyed Fig-parrot
Terek Sandpiper,Xenus cinereus,Terek Sandpiper,Xenus_cinereus,Xenus cinereus,Terek Sandpiper
Marbled Frogmouth,Podargus ocellatus,Marbled Frogmouth,Podargus_ocellatus,Podargus ocellatus,Marbled Frogmouth
Beach Thick-knee,Esacus magnirostris,Beach Stone-curlew,Esacus_giganteus,Esacus giganteus,Beach Thick-knee
Black-breasted Buttonquail,Turnix melanogaster,Black-breasted Button-quail,Turnix_melanogaster,Turnix melanogaster,Black-breasted Buttonquail
Common Tern,Sterna hirundo,Common Tern,Sterna_hirundo,Sterna hirundo,Common Tern
Sanderling,Calidris alba,Sanderling,Calidris_alba,Calidris alba,Sanderling
Turquoise Parrot,Neophema pulchella,Turquoise Parrot,Neophema_pulchella,Neophema pulchella,Turquoise Parrot
Diamond Dove,Geopelia cuneata,Diamond Dove,Geopelia_cuneata,Geopelia cuneata,Diamond Dove
Orange-footed Scrubfowl,Megapodius reinwardt,Orange-footed Scrubfowl,Megapodius_reinwardt,Megapodius reinwardt,Orange-footed Megapode
Buff-breasted Paradise-Kingfisher,Tanysiptera sylvia,Buff-breasted Paradise-Kingfisher,Tanysiptera_sylvia,Tanysiptera sylvia,Buff-breasted Paradise-kingfisher
Fairy Gerygone,Gerygone palpebrosa,Fairy Gerygone,Gerygone_palpebrosa,Gerygone palpebrosa,Fairy Gerygone
Graceful Honeyeater,Meliphaga gracilis,Graceful Honeyeater,Meliphaga_gracilis,Meliphaga gracilis,Graceful Honeyeater
Pied Monarch,Arses kaupi,Pied Monarch,Arses_kaupi,Arses kaupi,Pied Monarch
Spotted Catbird,Ailuroedus maculosus,Spotted Catbird,Ailuroedus_melanotis,Ailuroedus melanotis,Spotted Catbird
Superb Fruit-Dove,Ptilinopus superbus,Superb Fruit-Dove,Ptilinopus_superbus,Ptilinopus superbus,Superb Fruit-dove
Yellow-breasted Boatbill,Machaerirhynchus flaviventer,Yellow-breasted Boatbill,Machaerirhynchus_flaviventer,Machaerirhynchus flaviventer,Yellow-breasted Boatbill
Yellow-spotted Honeyeater,Meliphaga notata,Yellow-spotted Honeyeater,Meliphaga_notata,Meliphaga notata,Yellow-spotted Honeyeater
Spinifex Pigeon,Geophaps plumifera,White-bellied Spinifex Pigeon,Geophaps_plumifera,Geophaps plumifera,Spinifex Pigeon
Little Crow,Corvus bennetti,Little Crow,Corvus_bennetti,Corvus bennetti,Little Crow
Painted Firetail,Emblema pictum,Painted Finch,Emblema_pictum,Emblema pictum,Painted Finch
Australian Pratincole,Stiltia isabella,Australian Pratincole,Stiltia_isabella,Stiltia isabella,Australian Pratincole
Banded Lapwing,Vanellus tricolor,Banded Lapwing,Vanellus_tricolor,Vanellus tricolor,Banded Lapwing
Black-tailed Godwit,Limosa limosa,Black-tailed Godwit,Limosa_limosa,Limosa limosa,Black-tailed Godwit
White-winged Fairywren,Malurus leucopterus,White-winged Fairy-wren,Malurus_leucopterus,Malurus leucopterus,White-winged Fairywren
Ruddy Turnstone,Arenaria interpres,Ruddy Turnstone,Arenaria_interpres,Arenaria interpres,Ruddy Turnstone
Bush Thick-knee,Burhinus grallarius,Bush Stone-curlew,Burhinus_grallarius,Burhinus grallarius,Bush Thick-knee
Diamond Firetail,Stagonopleura guttata,Diamond Firetail,Stagonopleura_guttata,Stagonopleura guttata,Diamond Firetail
Eastern Bristlebird,Dasyornis brachypterus,Eastern Bristlebird,Dasyornis_brachypterus,Dasyornis brachypterus,Eastern Bristlebird
Restless Flycatcher,Myiagra inquieta,Restless Flycatcher,Myiagra_inquieta,Myiagra inquieta,Restless Flycatcher
Western Corella,Cacatua pastinator,Western Corella,Cacatua_pastinator,Cacatua pastinator,Western Corella
Budgerigar,Melopsittacus undulatus,Budgerigar,Melopsittacus_undulatus,Melopsittacus undulatus,Budgerigar
Slaty-backed Thornbill,Acanthiza robustirostris,Slaty-backed Thornbill,Acanthiza_robustirostris,Acanthiza robustirostris,Slaty-backed Thornbill
Spotted Harrier,Circus assimilis,Spotted Harrier,Circus_assimilis,Circus assimilis,Spotted Harrier
Little Buttonquail,Turnix velox,Little Button-quail,Turnix_velox,Turnix velox,Little Buttonquail
Pied Honeyeater,Certhionyx variegatus,Pied Honeyeater,Certhionyx_variegatus,Certhionyx variegatus,Pied Honeyeater
Crimson Chat,Epthianura tricolor,Crimson Chat,Epthianura_tricolor,Epthianura tricolor,Crimson Chat
Flame Robin,Petroica phoenicea,Flame Robin,Petroica_phoenicea,Petroica phoenicea,Flame Robin
Large-billed Gerygone,Gerygone magnirostris,Large-billed Gerygone,Gerygone_magnirostris,Gerygone magnirostris,Large-billed Gerygone
Pacific Reef-Heron,Egretta sacra,Eastern Reef Egret,Egretta_sacra,Egretta sacra,Pacific Reef-egret
Black Falcon,Falco subniger,Black Falcon,Falco_subniger,Falco subniger,Black Falcon
Noisy Scrub-bird,Atrichornis clamosus,Noisy Scrub-bird,Atrichornis_clamosus,Atrichornis clamosus,Noisy Scrub-bird
Western Bristlebird,Dasyornis longirostris,Western Bristlebird,Dasyornis_longirostris,Dasyornis longirostris,Western Bristlebird
Western Whipbird,Psophodes nigrogularis,Western Whipbird,Psophodes_nigrogularis,Psophodes nigrogularis,Western Whipbird
Northern Fantail,Rhipidura rufiventris,Northern Fantail,Rhipidura_rufiventris,Rhipidura rufiventris,Northern Fantail
Great-billed Heron,Ardea sumatrana,Great-billed Heron,Ardea_sumatrana,Ardea sumatrana,Great-billed Heron
Shining Flycatcher,Myiagra alecto,Shining Flycatcher,Myiagra_alecto,Myiagra alecto,Shining Flycatcher
Gray Whistler,Pachycephala simplex,Grey Whistler,Pachycephala_simplex,Pachycephala simplex,Grey Whistler
Lemon-bellied Flycatcher,Microeca flavigaster,Lemon-bellied Flycatcher,Microeca_flavigaster,Microeca flavigaster,Lemon-bellied Flyrobin
Black-throated Finch,Poephila cincta,Black-throated Finch,Poephila_cincta,Poephila cincta,Black-throated Finch
Green Pygmy-Goose,Nettapus pulchellus,Green Pygmy-goose,Nettapus_pulchellus,Nettapus pulchellus,Green Pygmy-goose
Glossy Ibis,Plegadis falcinellus,Glossy Ibis,Plegadis_falcinellus,Plegadis falcinellus,Glossy Ibis
Albert's Lyrebird,Menura alberti,Albert's Lyrebird,Menura_alberti,Menura alberti,Albert's Lyrebird
Papuan Frogmouth,Podargus papuensis,Papuan Frogmouth,Podargus_papuensis,Podargus papuensis,Papuan Frogmouth
Chowchilla,Orthonyx spaldingii,Chowchilla,Orthonyx_spaldingii,Orthonyx spaldingii,Chowchilla
Gray-headed Robin,Heteromyias cinereifrons,Grey-headed Robin,Heteromyias_albispecularis,Heteromyias albispecularis,Grey-headed Robin
Australasian Bittern,Botaurus poiciloptilus,Australasian Bittern,Botaurus_poiciloptilus,Botaurus poiciloptilus,Australasian Bittern
Lewin's Rail,Lewinia pectoralis,Lewin's Rail,Lewinia_pectoralis,Lewinia pectoralis,Lewin's Rail
Australian Yellow White-eye,Zosterops luteus,Yellow White-eye,Zosterops_luteus,Zosterops luteus,Australian Yellow White-eye
Green-backed Gerygone,Gerygone chloronota,Green-backed Gerygone,Gerygone_chloronota,Gerygone chloronota,Green-backed Gerygone
Red-headed Myzomela,Myzomela erythrocephala,Red-headed Honeyeater,Myzomela_erythrocephala,Myzomela erythrocephala,Red-headed Myzomela
Rufous-banded Honeyeater,Conopophila albogularis,Rufous-banded Honeyeater,Conopophila_albogularis,Conopophila albogularis,Rufous-banded Honeyeater
Red-capped Parrot,Purpureicephalus spurius,Red-capped Parrot,Purpureicephalus_spurius,Purpureicephalus spurius,Red-capped Parrot
Barking Owl,Ninox connivens,Barking Owl,Ninox_connivens,Ninox connivens,Barking Owl
Broad-billed Flycatcher,Myiagra ruficollis,Broad-billed Flycatcher,Myiagra_ruficollis,Myiagra ruficollis,Broad-billed Flycatcher
Crimson Finch,Neochmia phaeton,Crimson Finch,Neochmia_phaeton,Neochmia phaeton,Crimson Finch
Bar-breasted Honeyeater,Ramsayornis fasciatus,Bar-breasted Honeyeater,Ramsayornis_fasciatus,Ramsayornis fasciatus,Bar-breasted Honeyeater
Long-tailed Finch,Poephila acuticauda,Long-tailed Finch,Poephila_acuticauda,Poephila acuticauda,Long-tailed Finch
Masked Finch,Poephila personata,Masked Finch,Poephila_personata,Poephila personata,Masked Finch
Rufous-throated Honeyeater,Conopophila rufogularis,Rufous-throated Honeyeater,Conopophila_rufogularis,Conopophila rufogularis,Rufous-throated Honeyeater
Large-tailed Nightjar,Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgus_macrurus,Caprimulgus macrurus,Large-tailed Nightjar
Silver-crowned Friarbird,Philemon argenticeps,Silver-crowned Friarbird,Philemon_argenticeps,Philemon argenticeps,Silver-crowned Friarbird
Northern Rosella,Platycercus venustus,Northern Rosella,Platycercus_venustus,Platycercus venustus,Northern Rosella
Purple-gaped Honeyeater,Lichenostomus cratitius,Purple-gaped Honeyeater,Lichenostomus_cratitius,Lichenostomus cratitius,Purple-gaped Honeyeater
Varied Lorikeet,Psitteuteles versicolor,Varied Lorikeet,Psitteuteles_versicolor,Psitteuteles versicolor,Varied Lorikeet
Red-whiskered Bulbul,Pycnonotus jocosus,Red-whiskered Bulbul,Pycnonotus_jocosus,Pycnonotus jocosus,Red-whiskered Bulbul
Rainbow Pitta,Pitta iris,Rainbow Pitta,Pitta_iris,Pitta iris,Rainbow Pitta
Red-browed Pardalote,Pardalotus rubricatus,Red-browed Pardalote,Pardalotus_rubricatus,Pardalotus rubricatus,Red-browed Pardalote
Greater Bluebonnet,Northiella haematogaster,Blue Bonnet,Northiella_haematogaster,Northiella haematogaster,Blue Bonnet
Pilotbird,Pycnoptilus floccosus,Pilotbird,Pycnoptilus_floccosus,Pycnoptilus floccosus,Pilotbird
Ground Parrot,Pezoporus wallicus,Ground Parrot,Pezoporus_wallicus,Pezoporus wallicus,Ground Parrot
Bower's Shrikethrush,Colluricincla boweri,Bower's Shrike-thrush,Colluricincla_boweri,Colluricincla boweri,Bower's Shrike-thrush
Satin Flycatcher,Myiagra cyanoleuca,Satin Flycatcher,Myiagra_cyanoleuca,Myiagra cyanoleuca,Satin Flycatcher
Latham's Snipe,Gallinago hardwickii,Latham's Snipe,Gallinago_hardwickii,Gallinago hardwickii,Latham's Snipe
Atherton Scrubwren,Sericornis keri,Atherton Scrubwren,Sericornis_keri,Sericornis keri,Atherton Scrubwren
Mountain Thornbill,Acanthiza katherina,Mountain Thornbill,Acanthiza_katherina,Acanthiza katherina,Mountain Thornbill
Brown-backed Honeyeater,Ramsayornis modestus,Brown-backed Honeyeater,Ramsayornis_modestus,Ramsayornis modestus,Brown-backed Honeyeater
Southern Cassowary,Casuarius casuarius,Southern Cassowary,Casuarius_casuarius,Casuarius casuarius,Southern Cassowary
Regent Parrot,Polytelis anthopeplus,Regent Parrot,Polytelis_anthopeplus,Polytelis anthopeplus,Regent Parrot
Star Finch,Neochmia ruficauda,Star Finch,Neochmia_ruficauda,Neochmia ruficauda,Star Finch
Dusky Gerygone,Gerygone tenebrosa,Dusky Gerygone,Gerygone_tenebrosa,Gerygone tenebrosa,Dusky Gerygone
Mangrove Fantail,Rhipidura phasiana,Mangrove Grey Fantail,Rhipidura_phasiana,Rhipidura phasiana,Mangrove Fantail
Rufous Fieldwren,Calamanthus campestris,Rufous Fieldwren,Calamanthus_campestris,Calamanthus campestris,Rufous Fieldwren
Black-breasted Kite,Hamirostra melanosternon,Black-breasted Buzzard,Hamirostra_melanosternon,Hamirostra melanosternon,Black-breasted Buzzard
Black-naped Tern,Sterna sumatrana,Black-naped Tern,Sterna_sumatrana,Sterna sumatrana,Black-naped Tern
Sandstone Shrikethrush,Colluricincla woodwardi,Sandstone Shrike-thrush,Colluricincla_woodwardi,Colluricincla woodwardi,Sandstone Shrike-thrush
White-breasted Whistler,Pachycephala lanioides,White-breasted Whistler,Pachycephala_lanioides,Pachycephala lanioides,White-breasted Whistler
Chiming Wedgebill,Psophodes occidentalis,Chiming Wedgebill,Psophodes_occidentalis,Psophodes occidentalis,Chiming Wedgebill
Orange Chat,Epthianura aurifrons,Orange Chat,Epthianura_aurifrons,Epthianura aurifrons,Orange Chat
Blue-faced Parrotfinch,Erythrura trichroa,Blue-faced Parrot-Finch,Erythrura_trichroa,Erythrura trichroa,Blue-faced Parrotfinch
Indian Peafowl,Pavo cristatus,Indian Peafowl,Pavo_cristatus,Pavo cristatus,Indian Peafowl
